Nome do Cidadão;Dias para Resposta;Pedido;Status do Pedido;Identidade de gênero;Cor;Estado 
Cidadão 64;137;Bom dia,  O Site antigo da ANP continha uma abertura da produção de petróleo por poço (http://www.anp.gov.br/dados-estatisticos).  Essa mesma abertura não parece estar disponível no novo site (https://www.gov.br/anp/pt-br/assuntos/exploracao-e-producao-de-oleo-e-gas/gestao-de-contratos-de-e-p/dados-de-e-p/dados-de-exploracao-e-producao). Gostaria de saber se essa abertura vai voltar a ser disponibilizada.  Muito obrigado,  ;Acesso Concedido;Mulher Cisgênero;Preta;Amapá (AP)
Cidadão 65;147;Solicita-se informação referente ao quadro de professores do Instituto  Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte, em todos  os campi, especificamente, em relação ao cargo de Sistemas de Informação.  Deve ser respondido com a relação dos professores contendo as informações  do nome, campus, carga-horária de disciplinas lecionadas pelo docente para  os semestre 2019.2 e 2020.1. Além disso, informando a quantidade de cargos  vagos (exonerados, demitidos ou abandonados) com os seus respectivos  códigos de vagas.;Acesso Concedido;Homem Cisgênero;Amarela;São Paulo (SP)
Cidadão 66;131;Gostaria de obter acesso aos seguintes documentos: CIA 04/2017 (Comissão interna de investigação), DIP TRANSPETRO DTM 32/2008 (proposta de contratação direta) e o contrato firmando entre a TRANSPETRO e estaleiro EISA, de 04 de dezembro de 2008, para aquisição de 04 (quatro) navios panamax. Tais documentos serão utilizados para fins didáticos, embasado trabalho acadêmico a ser apresentada no curso de Máster da Universidade de Salamanca. Muito Obrigado.;Não se trata de solicitação de informação;Homem transgênero;Branca;Alagoas (AL)
Cidadão 67;118;Bom dia,    Gostaria de realizar a prova para atuar como Supervisor de Proteção Radiológica na área da radioterapia e necessito sanar algumas dúvidas.     Como Tecnólogo em Radiologia, eu posso atuar na área ? Percebi que há uma predominância de Físicos na profissão, porém gostaria de saber se há espaço para o graduado em Radiologia exercer a profissão.     Agradeço desde já a atenção de todos. ;Pergunta Duplicada/Repetida;Homem Cisgênero;Amarela;Pernambuco (PE)
Cidadão 68;49;Gostaria de me cadastrar no INSS, e solicitar uma carteira de trabalho. Pelo site não é possível concluir minha solicitação. Obrigada;Acesso Negado;Homem Cisgênero;Preta;Paraíba (PB)
Cidadão 69;58;Parcelas referente ao auxílio extensivo no valor de 300$ com datas previstas para 04/12/20 e 18/12/20 não foram creditadas na minha conta virtual da caixa econômica federal.;Pergunta Duplicada/Repetida;Mulher transgênero;Parda;Espírito Santo (ES)
Cidadão 70;55;Solicito os dados de identificação da BOXTER DISTRIBUIDORA DE COMBUSTÍVEIS (CNPJ, ENDEREÇO, QUADRO SOCIETÁRIO, ETC) PARA ENVIO DE NOTIFICAÇÃO extrajudicial.;Órgão não tem competência para responder sobre o assunto;Mulher Cisgênero;Preta;Pernambuco (PE)
Cidadão 71;104;Gostaria de solicitar as seguintes informações, abertas por Centro de Reprodução Humana Assistida (BCTG) localizados no Distrito Federal, dos anos 2017, 2018 e 2019:  - Total de oócitos produzidos  - Total de embriões transferidos  - Total de ciclos realizados  - Média de oócitos por mulher  - Média de taxa de fertilização.      Obrigado;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;Ceará (CE)
Cidadão 72;402;Prezados,  Como todos sabem entre os princípios norteadores da administração pública estão a publicidade, legalidade e impessoalidade.   Diante disso, gostaria de solicitar que divulguem a pontuação final que permitiu os empregados abaixo destacados serem designados para as funções de Diretor Regional/Superintendente, conforme informação apresentada no Correios Informa-9/12/2020.  Tendo em vista que na lista final de aprovados do processo relacionado à Nota de Abertura 08/2020 - Banco de Elegíveis só houve a apresentação dos nomes dos classificados em ordem alfabética, sem informação da pontuação de cada empregado é imprescindível para legalidade e publicidade do processo que a pontuação dos ocupantes do primeiro lugar e designados sejam conhecidos.  Caso as informações não sejam claras e públicas, pode-se desconfiar do resultado e da legalidade das designações, dando margem para medida judicial.  Ressalta-se que em diversos momentos o presidente atual dos Correios reforça o compromisso de sua gestão com a eficiência e transparência, o que espera-se que seja demonstrado em todos os atos da empresa. Aguardo a informação sobre a pontuação dos participantes e, sobretudo, dos designados para as funções alvo da seleção.    Seguem meus dados:  NOME: RENATO RODRIGUES LIMA  MATRÍCULA: 8.926.803-2  LOTAÇÃO: SCOI/CVCO-SPM/GCOPE/DCINT/DIGOV/CS  E-MAIL: rerodrigues@correios.com.br  Telefone: 11-4313-8153  CARGO: ANALISTA DE CORREIOS JR – ECONOMISTA  FUNÇÃO: CHEFE DE SEÇÃO-G1  ;Acesso Concedido;Mulher Cisgênero;Parda;Maranhão (MA)
Cidadão 73;58;Eu recebi meu auxílio só até a quinta parcela e depois não recebi mais.  Última vez que recebi foi dia 29 de outubro de 2020.;Acesso Concedido;Mulher Cisgênero;Preta;Pernambuco (PE)
Cidadão 66;50;Bom dia    Gostaria de saber se vou receber o auxilio extensão conforme descrito? Pois não aparece no sistema. Eu teria direito a mais uma parcela.;Acesso Concedido;Homem transgênero;Branca;Alagoas (AL)
Cidadão 67;155;"Gostaria de saber como atender a exigencia da Cetesb ""Ficha de Caracterização da Atividade - FCA, devidamente preenchida, na qual constem o número de protocolo e o número da FCA informados pelo IPHAN. Documento obrigatório somente para empreendimentos classificados pela Instrução Normativa IPHAN 01/2015 como Nível I, II, III ou IV""     para uma industria de 423,89m2 cuja fabricacao é : detergente líquido, amaciante, desinfetante, sabão líquido, shampoo para veiculo,  álcool líquido 70%, alcool gel 70%, shampoo, condicionador e  perfume em Araçatuba-SP";Acesso Concedido;Homem Cisgênero;Amarela;Pernambuco (PE)
Cidadão 1;130;O meu auxílio foi bloqueado injustamente, estou recorrendo a mais de quatro meses, pois estou desempregado e tenho direito ao auxílio e tenho a necessidade desse direito que é meu por lei, já tentei contato várias vezes nas agências e eles me direcionam pra esse site e até hoje não resolveram a minha situação, não estou em nenhum tipo de fraude, minha documentação estar em dia e estou Apto para mais esclarecimentos se precisar.;Acesso Concedido;Homem Cisgênero;Branca;São Paulo (SP)
Cidadão 2;113;Fui aprovada recentemente para receber a extensão do auxílio emergêncial, mas no site da Dataprev costa que não fui aprovada e tbm não consta meu número no grupo familiar que estou cadastrada, mas quando entre no app do auxílio emergêncial diz que fui aprovada, porém minha conta está zerada. O que posso fazer ?;Acesso Parcialmente Concedido;Mulher Cisgênero;Branca;Pernambuco (PE)
Cidadão 70;64;"Fui avisado de que meu auxilio foi bloqueado. Consta no dataprev: ""indicios de emprego formal"". Mas sou autônomo, faço bico então tenho direito a receber";Acesso Negado;Mulher Cisgênero;Preta;Pernambuco (PE)
Cidadão 71;175;Boa tarde, tudo bem?    Tenho uma dúvida sobre a nova legislação publicada hoje no DOU: INSTRUÇÃO NORMATIVA nº 110, DE 24 DE NOVEMBRO DE 2020. No caso, a parte que se refere a ROTULAGEM (Garantias obrigatórias de rotulagem) presentes nos anexos, essa parte seria apenas para quando estamos fabricando/comercializando “o” ingrediente/aditivo/veículo, certo?     Para ser mais clara, por exemplo, ALIMENTOS COMPLETOS ou ALIMENTOS ESPECÍFICOS para animais de companhia, eu posso utilizar essas listagens para verificar os ingredientes/aditivos/veículos que posso adicionar a esse tipo de alimento, mas não as partes referentes a rotulagem, correto?     Obrigada;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;Ceará (CE)
Cidadão 72;50;Oi bom dia , queria saber porque meu auxilio emergencial bolsa família não está saindo ,dois meses que não recebo. Queria saber o porquê?;Acesso Concedido;Mulher Cisgênero;Parda;Maranhão (MA)
Cidadão 40;57;Meu auxílio foi bloquiado .sendo que eu não trabalho fichado ..era pra mim receber dia 06/11/2020  é foi bloquiado ;Acesso Negado;Homem Cisgênero;Preta;Goiás (GO)
Cidadão 41;159;Procurei no site do e-mec no Cadastro Nacional de Cursos e Instituições de Ensino Superior no campo Curso de Graduação, o credenciamento do curso de medicina da PUC-MG de Betim e obtive a informação seguinte: em supervisão- medida cautelar, portaria número328/2020, publicado no Diário Oficial da União-DOU em 19/10/2020. Dessa forma, gostaria de saber se tal informação implica que o curso não é credenciado pelo Ministério da Educação uma vez que ao selecionar a opção: buscar por Instituição de Ensino Superior referentes à PUC Betim no curso de medicina não consta nenhum registro.;Não se trata de solicitação de informação;Homem Cisgênero;Preta;São Paulo (SP)
Cidadão 42;89;Caro Senhores ,    Estou consultando o ,processo  n° 53900.055689/2015-17  e apensos relacionados .    Observei uma movimentação :  03/11/2020 10:45  COREC_EDU  Conclusão do processo na unidade    Não consigo interpretar .    Vocês , por favor , poderiam nos esclarecer .    Att ,    Eng. Jorge Luiz Reinert.;Acesso Concedido;Mulher Cisgênero;Parda;São Paulo (SP)
Cidadão 43;66;Gostaria de ter acesso ao conteúdo do despacho 12661903 da CGQV/DIPOV/SDA/MAPA constante no processo SEI 21000.090932/2019-24. Grata!;Acesso Concedido;Mulher Cisgênero;Branca;Mato Grosso do Sul (MS)
Cidadão 44;180;Boa tarde!  Gostaria de obter informação sobre qual pessoa/setor/órgão é responsável por determinar quais processos de pagamento de exercícios anteriores inseridos e autorizados no SIAPE serão pagos primeiro. Qual é o critério utilizado para o pagamento? Ordem de inserção e autorização no sistema? Como eu faço para saber em qual colocação (na ordem de pagamento) um processo de pagamento de exercícios anteriores se encontra? E como eu faço para saber qual a previsão de pagamento de um determinado processo autorizado no sistema SIAPE?  Atenciosamente,    Valéria Kuchar Matte;Não se trata de solicitação de informação;Homem Cisgênero;Parda;Minas Gerais (MG)
Cidadão 45;160;A/c do PROGRAMA DE PÓS-GRADUAÇÃO EM ANTROPOLOGIA da UFMT    Prezados(as), boa tarde!      Solicito gentilmente ajuda para ter acesso ao trabalho de especialização abaixo apontado:    ARAUJO, B. D. Antropologia & Antropofagia: a arte de Clóvis Irigaray ou o absurdo da realidade. Cuiabá (MT), 1999. Trabalho para a disciplina Teoria das Relações Étnicas, no curso de especilização Antroplogia: Teoria e Métodos (1999-2000), do Departamento de Antropologia da UFMT.          Agradeço atencipamente pela atenção de todos(as).    Atenciosamente,    ;Órgão não tem competência para responder sobre o assunto;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 40;165;A terceira parcela da extensão do meu auxílio emergencial deveria ter sido creditada de forma digital em 29/11/20 de acordo com o calendário dos nascidos em maio. Porém só recebi até o presente momento duas parcelas referente a extensão. Informo que estou dentro de todos os requisitos para o benefício das quatro parcelas de extensão. Também não consigo contato pelo telefone 121.   Gostaria de saber quando a terceira e a quarta parcela da extensão do auxílio emergencial serão creditadas na conta do aplicativo caixa tem, pois não consigo vizualizar em lançamento futuro? ;Não se trata de solicitação de informação;Homem Cisgênero;Preta;Goiás (GO)
Cidadão 41;157;Boa tarde! Sou servidora do TJDFT e preciso reajustar um contrato atrelado ao Índice de Custo da Tecnologia da Informação - ICTI. Observei que o último índice divulgado refere-se ao mês de setembro/2020. Gostaria de conhecer a agenda de divulgação do índice. Por exemplo: o IPCA, calculado pelo IBGE, geralmente é divulgado na segunda quinzena do mês seguinte ao mês de referência (em outras palavras, o índice de novembro/2020 deve ser divulgado em 15.12.2020). Por favor, com qual periodicidade o ICTI é divulgado? Obrigada!;Órgão não tem competência para responder sobre o assunto;Homem Cisgênero;Preta;São Paulo (SP)
Cidadão 42;39;Quero saber se tenho direito ao auxílio emergencial extensivo;Não se trata de solicitação de informação;Mulher Cisgênero;Parda;São Paulo (SP)
Cidadão 43;77;Meu auxílio foi bloqueado. No dataprev está alegando que comecei a receber o seguro desemprego, porém tem mais de 5 anos que trabalhei registrada! Não tem como eu receber seguro desemprego. ;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;Mato Grosso do Sul (MS)
Cidadão 44;43;Gostaria de saber porque fui cortada de receber as parcelas, sou autônomo e nao tenho nenhum tipo de renda;Acesso Concedido;Homem Cisgênero;Parda;Minas Gerais (MG)
Cidadão 45;75;Meu auxilio foi bloqueado devido eu ter sido registrada ...mais ai assim que bloqueou meu beneficio fui mandada embora por conta da pandemia contestei para ver se seria aprovado novamente mais ate agora nao houve retorno ;Órgão não tem competência para responder sobre o assunto;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 67;70;Boa tarde. Gostaríamos de obter todos os estudos e documentos que embasaram a publicação da resolução 126/20, que reduziu a alíquota sobre revólveres e pistolas.;Acesso Concedido;Homem Cisgênero;Amarela;Pernambuco (PE)
Cidadão 68;63;Boa tarde. Gostaríamos de obter todos os estudos e documentos que embasaram a publicação da resolução 126/20 da Camex, que reduziu a alíquota sobre revólveres e pistolas.;Não se trata de solicitação de informação;Homem Cisgênero;Preta;Paraíba (PB)
Cidadão 69;77;Olá!  Gostaria de saber qual a orientação atual do Ministério da Saúde acerca da medição de temperatura em estabelecimentos comerciais. Qual o local correto para medir: na testa ou no pulso?  Agradeço. ;Não se trata de solicitação de informação;Mulher transgênero;Parda;Espírito Santo (ES)
Cidadão 21;83;Eu não estou mais recebendo meu auxílio e está me fazendo muita falta.  Minha mãe que recebia pensão, veio a falecer desde Junho e acabaram cortando meu auxílio.  Vivo com meu filho de 10 anos e essa ajuda está fazendo muita falta.  Obrigado pela atenção.;Acesso Concedido;Não binário;Amarela;Minas Gerais (MG)
Cidadão 22;243;Estou inscrita no cadastro unico do governo, recebia bolsa familia antes da pandemia e me inscrevi para receber o auxilo emergencial pois eu entro em todos os criterios. Recebi a primeira parcela, e a partir da segunda foi bloqueado com a justificativa de que eu não entrava nos parametros para o recebimento por cota da minha renda familiar mensal, Compareci ao CadUnico para atualizar que eu estou morando sozinha, não trabalho, e preciso desse auxilio que esta bloqueado ja faz 6 meses. Quero que revejam a minha situação que há meses esta em analise e por favor faça o desbloqueio das parcelas que eu não recebi. Minha mãe (maria jose lima da silva melo) não é mais responsavél por mim e minha renda não atinge nem 1 salario minimo mensal. Peço que reavaliem a minha situação e entrem em contato o mais rapido que puderem.     Obrigada!   Gabriela Melo.;Não se trata de solicitação de informação;Homem Cisgênero;Branca;Minas Gerais (MG)
Cidadão 23;74;Olá boa tarde meu auxílio foi bloqueado, porque eu estava registrada em agosto , agora não estou mais , E preciso do auxílio porque moro sozinha e tenho uma filha ;Pergunta Duplicada/Repetida;Mulher Cisgênero;Branca;Paraíba (PB)
Cidadão 5;81;Olá!  Gostaria de saber qual a orientação atual da Anvisa acerca da medição de temperatura em estabelecimentos comerciais. Qual o local correto para medir: na testa ou no pulso?  Agradeço. ;Acesso Concedido;Homem Cisgênero;Parda;Pernambuco (PE)
Cidadão 6;81;Boa tarde!  Referente a esse protocolo, por favor, solicitem novamente, pois a função existe e eu só quero ter enviar o e-mail para eles para que meus direitos sejam reparados.;Pergunta Duplicada/Repetida;Mulher Cisgênero;Preta;Minas Gerais (MG)
Cidadão 7;122;Boa tarde! Meu auxílio emergêncial está cancelado a meses. Hoje fui novamente a uma agência da caixa e lá me informaram que meu auxílio está cancelado por constar que sou funcionária pública. Não sou mais funcionaria pública desde o ano de 2018. Por gentileza atualizem essa informação para que eu possa continuar recebendo meu auxílio. Obrigada!;Pergunta Duplicada/Repetida;Mulher Cisgênero;Branca;Pará (PA)
Cidadão 5;54;andamento do processo sobre numero.54000.082176 2020-52;Pergunta Duplicada/Repetida;Homem Cisgênero;Parda;Pernambuco (PE)
Cidadão 6;122;A segunda cota do auxílio emergencial foi negada, mas no site consta que meu auxílio foi aprovado, até agora não consegui receber nenhuma parcela da segunda cota, não possuo emprego e estou gestante, preciso do dinheiro para me ajudar nessa instabilidade financeira, solicito que analisem de novo e entrem em contato assim que for possível!;Não se trata de solicitação de informação;Mulher Cisgênero;Preta;Minas Gerais (MG)
Cidadão 7;229;Gostaria de solicitar, com base na Lei de Acesso a Informação, o inteiro teor dos seguintes discursos oficiais diplomáticos, os quais não estão mais disponíveis no site do MRE, nem em outra plataforma.    http://www.itamaraty.gov.br/pt-BR/discursos-artigos-e-entrevistas-categoria/ministro-das-relacoes-exteriores-artigos/21141-une-cooperatioin-technique-solide-et-un-dialogue-politique-fluide-le-soleil-senegal-9-12-2019    http://www.itamaraty.gov.br/pt-BR/discursos-artigos-e-entrevistas-categoria/ministro-das-relacoes-exteriores-artigos/21143-brasil-e-angola-tempo-de-reencontro-jornal-de-angola-angola-11-12-2019    Além disso, gostaria de questionar: por qual motivo os discursos oficiais não estão mais disponíveis no site do MRE para acesso geral?    Aguardo retorno com brevidade.  ;Acesso Concedido;Mulher Cisgênero;Branca;Pará (PA)
Cidadão 70;84;Boa tarde!    Solicito:    1 - Cópia, em sua integralidade, de todos os documentos, pareceres e demais estudos técnicos, formulados por esse órgão, que embasaram a elaboração do Decreto Federal nº nº 10.571, de 9 de dezembro de 2020.;Não se trata de solicitação de informação;Mulher Cisgênero;Preta;Pernambuco (PE)
Cidadão 71;104;Olá, gostaria de uma informação.  A INSTRUÇÃO NORMATIVA Nº 53, DE 23 DE OUTUBRO DE 2013, ainda está em vigor ? ou já foi revogada por outra instrução?   Se ela foi revogada, qual instrução normativa está em vigor? e caso ela esteja em vigor ainda tem alguma parte dela que teve alterações.  Muito obrigada pela atenção.      ;Acesso Concedido;Mulher Cisgênero;Branca;Ceará (CE)
Cidadão 72;65;Solicito uma cópia do parecer  nº 00056/2020/DICAD/PFFNDE/PGF/AGU de junho 2020 já fiz solicitação mas sem sucesso.;Acesso Concedido;Mulher Cisgênero;Parda;Maranhão (MA)
Cidadão 73;83;Prezados,    Gostaria de solicitar cópias dos autos do Processo CVM SP2012/172, instaurado pela GOI-2, contra a Ágora CTVM S.A., ou se possível, as decisões da CVM e o motivo de seu encerramento/arquivamento.;Não se trata de solicitação de informação;Mulher Cisgênero;Preta;Pernambuco (PE)
Cidadão 66;59;"Boa tarde!  Gostaria de ter acesso ao relatório ""Sistemas de Armazenamento de Energia – Tecnologia, Regulação e Políticas Públicas"", publicado em 2017.  Atenciosamente,  Luiz Rocha.";Não se trata de solicitação de informação;Homem transgênero;Branca;Alagoas (AL)
Cidadão 44;64;Gostaria de verificar se no peticionamento para alteração da razão social da empresa para as AFEs/AE o procedimento deve ser feito individualizado para cada AFE ou se pode ser feita para todas num peticionamento único;Não se trata de solicitação de informação;Homem Cisgênero;Parda;Minas Gerais (MG)
Cidadão 45;359;Por favor, com base na Lei nº 12.527/2011, que regulamenta o direito constitucional de acesso às informações públicas, solicito: a lista completa de pedidos de pesquisa e pedidos de lavra ativos requeridos sob a titularidade das seguintes empresas, dispostos de acordo com os respectivos municípios, substâncias a serem possivelmente mineradas, área total do pedido em hectares, em formato de planilha (.xls):    KINROSS BRASIL MINERACAO S/A - 20.346.524/0001-46  MINERACAO MARACA INDUSTRIA E COMERCIO S/A - 86.902.053/0001-13  MINERACAO FAZENDA BRASILEIRO S/A - 05.673.658/0001-88  MASSA FALIDA DE MUNDO MINERACAO LTDA - 07.950.015/0001-60  MINERACAO AURIZONA S/A - 42.422.048/0001-38  MINERACAO SERRA GRANDE S A - 42.445.403/0001-94  SALINAS GOLD MINERACAO LTDA - 03.212.955/0001-09  ORO AMAPA MINERACAO - 06.170.253/0001-90  MINERACAO CURRAL DE PEDRA LTDA - 14.740.275/0001-76  NX GOLD S.A. - 18.501.410/0001-81  MINERBRAS MINERACAO LTDA - 14.762.164/0001-60  CANAMERA MINERACAO LTDA - 08.242.161/0001-01  SERTAO MINERACAO LTDA - 04.692.077/0001-20     Se as informações que eu procuro de alguma forma violem o princípio da privacidade, solicito a edição das informações de modo a não violar o princípio. Caso vocês entendam que não é possível me responder, me expliquem: quantas pessoas vão ser mobilizadas, por quanto tempo e por qual motivo? Agradeço desde já.;Acesso Concedido;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 46;80;Tenho interesse em consultar processo administrativo no INCRA do sr. Francisco Braga de Souza.   Sou advogada dele e pretendo realizar a regularização de terras. ;Acesso Negado;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 9;43;Olá, preciso do acesso ao inteiro teor dos seguintes processos: 50300.001825/2020-97 50300.003281/2020-06 ;Acesso Concedido;Mulher Cisgênero;Preta;Paraíba (PB)
Cidadão 10;263;Sobre a Elaboração da Estratégia Nacional de Defesa 2008 (END/2008), busco identificar todas as pessoas que participaram da elaboração do documento. Nesse sentido, realizo os seguintes questionamentos: a. Houve constituição de comissões, Grupo de Trabalho do MD e de Grupo de Trabalho Interministerial?  b. Qual portaria (ou outro instrumento legal) de constituição dessas comissões e/ou grupos de trabalho? Solicito cópia dessa legislação. c. Houve registro das reuniões dessas comissões e/ou grupos? Solicito cópia de documentos de registro das mesmas, caso existam (atas de reuniões, relatórios, documentos internos, entre outros que ajudem a identificar os participantes). d. Houve consulta formal a não integrantes do MD? Solicito cópia desses documentos, se for o caso.  Segundo informações que obtive, o documento teria sido elaborado em um período de cerca de 15 meses entre os anos de 2007 e 2008. Não tenho maiores informações a respeito. Muito Obrigado! ;Órgão não tem competência para responder sobre o assunto;Mulher Cisgênero;Amarela;Minas Gerais (MG)
Cidadão 11;62;Gostaria de solicitar o envio dos arquivos vetoriais, do ano corrente, de todas as glebas públicas federais, em formato shapefile (.shp).;Informação Inexistente;Homem transgênero;Branca;Pernambuco (PE)
Cidadão 12;179;Desejo acesso ao número de ocorrências de violência institucional, ocorridos na comunidade acadêmica, seja de professor para aluno, aluno para professor, aluno para técnico administrativo, técnico administrativo para alunos, alunos para alunos, ou alunos para terceirizados e terceirizados para alunos. Solicito a quantificação por ano, sendo dos últimos 4 anos, ou seja, nos anos de 2016, 2017, 2018 e 2019. Explicitando a categoria que houve a violência institucional, podendo ser agressões físicas ou verbais. Esses dados será utilizado para a escrita de um trabalho de conclusão de curso. ;Não se trata de solicitação de informação;Mulher Cisgênero;Pessoa Branca;Bahia (BA)
Cidadão 13;255;"Venho por meio deste, solicitar o acesso ao contrato, seus anexos, e aditivos, para ser utilizado em licitações do próprio grupo PETROBRAS, com a finalidade de atender a requisitos de comprovação, conforme dados que seguem abaixo: Número do contrato: 5875.0106180.17.2, Parte contratante: Petróleo Brasileiro S.A., Parte contratada: Accenture do Brasil Ltda, Data da celebração do contrato: 14/05/2018 Escopo do contrato: Direito de uso, pela Petrobras, do Software AS Service (""SaaS"") Solução Amadeus AeTM (E-Travel Management) e Serviços Online e Emissão de Reservas de Viagens para a Petrobras, doravante denominado genérica e simplesmente como SISTEMA, o direito de atualização deste SISTEMA, relacionados no Anexo II - Planilha de Preços Unitários - PPU, bem como prestação de serviço de suporte técnico local e/ou remoto, conforme o Anexo 1 - Especificação Técnica.,";Acesso Concedido;Homem Cisgênero;Parda;São Paulo (SP)
Cidadão 14;218;SOLICITO TABELAS DE EXCEL COM PROJEÇÕES /ESTIMATIVAS DA POPULAÇÃO DO BRASIL, DOS ESTADOS E CAPITAIS PARA 2020 E 2021 DIVIDIDAS POR SEXO, FAIXA ETARIA E ALEM DISSO GRAFICOS DE PIRAMIDE DE EXPECTATIVA DE VIDA PARA ESTES MESMOS ANOS, DOS ESTADOS, CAPITAIS E BRASIL, ASSIM COMO SE POSSÍVEL O PERCENTUAL DE IDOSOS ( ACIMA DE 60 ANOS, ACIMA DE 70 E ACIMA DE 80 ANOS) PARA ESTES MESMO ANOS, PARA O BRASIL, ESTADOS E CAPITAIS. ESTAMOS FAZENDO UMA ANALISE DEMOGRAFICA COM OS CASOS DE COVID-19 E NO SITE DO IBGE NÃO CONSEGUI ACHAR TODAS ESSAS INFORMAÇÕES ESTRATIFICADAS SOBRE AS PROJEÇÕES. HÁ ALGUMAS TABELAS PORÉM SE POSSIVEL QUE TIVESSE ACESSO AO RESTANTE, SERIA DE GRANDE USO. AGRADEÇO DESDE JÁ A DISPOSIÇÃO.  SE HOUVER ALGUM LOCAL COM ESSAS INFORMAÇÕES JÁ PRONTAS, AGRADEÇO SE PUDEREM ME ENVIAR. ;Acesso Negado;Mulher Cisgênero;Preta;Amazonas (AM)
Cidadão 15;57;Gostaria de saber se será dado continuidade á seleção das bolsas no campus Colinas durante a pandemia?;Acesso Concedido;Mulher Cisgênero;Preta;Espírito Santo (ES)
Cidadão 16;86;Solicito a relação dos fornecedores do PNAE (Programa Nacional de Alimentação Escolar) por ESTADO, ou seja, todas as 27 unidades federativas do Brasil (26 Estados + Distrito Federal), que forneceram ao programa de 2010 a 2020, ou nos anos que tiverem registros. ;Acesso Concedido;Homem Cisgênero;Preta;Paraná (PR)
Cidadão 17;221;"Sobre as políticas de enfrentamento à violência contra mulheres: 1. Solicitam-se cópias do planejamento, projeto executivo e relatório de execução das etapas e do orçamento de cada uma das 25 novas Casa das Mulheres anunciadas pelo Ministério para 2020. (""Casa da Mulher Brasileira chegará a mais 25 municípios em 2020"", notícia disponível em https://www.gov.br/mdh/pt-br/assuntos/noticias/2020-2/janeiro/casa-da-mulher-brasileira-chegara-a-mais-25-municipios-em-2020, em 16/04/2020), 2. Além das 25 novas Casas da Mulher Brasileira anunciadas, há outras ações programadas para aprimorar a execução dessa ação e construir mais casas em outras localidades? Quais? 3. Quais ações têm sido realizadas voltadas ao atendimento das mulheres em situação de violência em municípios de pequeno e médio porte?   ";Órgão não tem competência para responder sobre o assunto;Homem Cisgênero;Pessoa Branca;Goiás (GO)
Cidadão 18;52;Estou no cadastro único e não recebi o auxílio emergencial. Porque? ;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 19;22;Primeiro emprego;Acesso Concedido;Homem Cisgênero;Branca;São Paulo (SP)
Cidadão 20;102;Boa tarde!  Venho por meio deste, solicitar a previsão para emissão do Parecer do referido processo. Comunico que o interessado já tem Licença de Instalação, (anexo), e para concluir o requerimento da Licença de Operação, depende da Manifestação do IPHAN.  Cordialmente,  Telma Rodrigues (11) 2362-8708;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;Pernambuco (PE)
Cidadão 21;80;Olá ,sou mãe de dois filhos.no meu cadastro já consta que sou chefe de família ,mais o valor do meu benefício veio $600,00 . gostaria de saber porque meu valor veio esse. ;Acesso Concedido;Não binário;Amarela;Minas Gerais (MG)
Cidadão 22;34;Por município, com data de rebimento, valor destinado e fonte dos recursos.;Acesso Negado;Homem Cisgênero;Branca;Minas Gerais (MG)
Cidadão 23;145;Sobre a Política de enfrentamento à violência contra meninas e mulheres: 1. Quais são as ações atualmente empreendidas pelo Ministério relacionadas ao enfrentamento à violência contra meninas e mulheres? Quais são os objetivos, metas, público-alvo e indicadores de avaliação e monitoramento para cada uma das ações?  2. Como o Ministério tem acompanhado a evolução do problema da violência contra mulheres? Pesquisas de vitimização têm sido aplicadas? Se sim, solicita-se cópia do relatório de avaliação das pesquisas.;Acesso Negado;Mulher Cisgênero;Branca;Paraíba (PB)
